letter,page,drug_name,sanskrit_name,transliteration,ref_drug_name,botanical_correlation,status,discussion,reference
A,1,Abhababulaka,आभाबब्बूलक,ābhābabbūlaka,आभाबब्बूलक,Acacia arabica,Suggested Source,"In Kaideva and Sodala nighantu, 'Abhababulaka' is described seperately after 'Babbula'; 'Abhababulaka' is described under Laksmana varga where as 'Babbula' is described under 'Amradi varga'; But Bapalal Vaidya has correlated this to Acacia arabica which is 'Babbula'; According to the author this may be a type of 'Babbula'",[5]
A,1,Abhababulaka,आभाबब्बूलक,ābhābabbūlaka,आभाबब्बूलक,Acacia sp.,Accepted source,"In Kaideva and Sodala nighantu, 'Abhababulaka' is described seperately after 'Babbula'; 'Abhababulaka' is described under Laksmana varga where as 'Babbula' is described under Amradi varga; According to the author this may be a type of 'Babbula' and hence identified with this species",[5]
A,1,Abhirupatri,अभीरुपत्री,abhīrupatrī,अभीरुपत्री,Asparagus Sp.,Most probable,Abhiru' has been mentioned just once in Caraka samhita; It is a synonym of 'Satavari' or is a plant that resembles 'Satavari' and hence most probably correlated to this species,[5]
A,1,Abhisuka,अभिषुक,abhiṣuka,अभिषुक,Pistacia vera Linn.,Accepted source,Imported,[1]
A,1,Abhisuka,अभिषुक,abhiṣuka,अभिषुक,Pistacia vera Linn.,Accepted source,Identified with this species,[4]
A,1,Abhisuka,अभिषुक,abhiṣuka,अभिषुक,Pistacia vera Linn.,Most probable,"Abhisuka is mentioned along with fruits like 'Vatama', 'Aksoda' etc which are dry and unctuous in nature; Some of them identify 'Pista' with 'Abhisuka' and even the author agrees with it and identifies 'Abhisuka' with this species",[5]
A,1,Adari,आदारी,ādārī,आदारी,Acacia pennata Willd.,Most probable,"Susruta in his description has mentioned this as a vella (creeper); In Abhidanaratnamala, 'Khadiravalli' has been given as its synonym; According to the author it is this species which the adivasis refer as 'Arar' which has origined from 'Adari'. A.pennata is a creeper and has features similar to the ones described in the text and hence can be taken into consideration",[5]
A,1,Adarisimbi,आदारिशिम्बी,ādāriśimbī,आदारिशिम्बी,Cassia auriculata Linn.,Most probable,With regard to its morphological features it is most probably identified with this species,[1]
A,1,Adhahpuspi,अधःपुष्पी,adhaḥpuṣpī,अधःपुष्पी,Trichodesma indicum R. Br.,Accepted source,Identified with it,[3]
A,1,Adhaki,आढकी,āḍhakī,आढकी,Cajanus cajan (Linn.) Millsp.,Accepted source,Identified with it,[1]
A,1,Adhaki,आढकी,āḍhakī,आढकी,Cajanus cajan (Linn.) Millsp.,Accepted source,Identified with it,[4]
A,1,Adhaki - prakara,आढकी प्रकार,āḍhakī prakāra,आढकी प्रकार,Cajanus cajan (Linn.) Millsp. var. bicolor DC.,Accepted source,Variety of adhaki is identified with this species,[4]
A,1,Adhaki - prakara,आढकी प्रकार,āḍhakī prakāra,आढकी प्रकार,Cajanus cajan (Linn.) Millsp. var. flavus DC.,Accepted source,Variety of adhaki is identified with this species,[4]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Argyria petaloides,Controversial,"With regard to the commentary given in Caraka, Adhoguda is identified as Vrddhadaraka which is correlated to this species but this species does not tally with the properties of Adhoguda",[2]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Euphorbia acaulis Roxb.,Accepted source,In the texts it has been mentioned among the purgative drugs; Has been cited just once in Caraka samhita; Guda is a synonym of Snuhi so the literal meaning of Adhoguda is 'Snuhi that grows underground'; It is identified with this species,[5]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Euphorbia acaulis Roxb.,Most probable,May be a variety of snuhi,[1]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Euphorbia nivulia,Accepted source,Guda is the synonym of Snuhi which is correlated to this species,[2]
A,1,Adityavalli,आदित्यवल्ली,ādityavallī,आदित्यवल्ली,Helianthus annuus Linn.,Controversial,Commentators have usually identified Adityavalli with this species,[1]
A,1,Agaru,अगरु,agaru,अगरु,Aquilaria agallocha Roxb.,Accepted source,Identified with it,[1]
A,1,Agaru,अगरु,agaru,अगरु,Aquilaria agallocha Roxb.,Accepted source,Agaru is identified with this species,[5]
A,1,Agastya,अगस्त्य,agastya,अगस्त्य,Sesbania grandiflora (Linn.) Pers.,Accepted source,Identified with it,[1]
A,1,Agastya,अगस्त्य,agastya,अगस्त्य,Sesbania grandiflora Pers.,Accepted source,Identified with it,[3]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Artemisia indica.,Suggested source,Nighantu sangraha has correlated Agnidamani to Artemisia indica but its morphology doesn’t tally with this species; It needs to be avoided,[2]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Solanum dulcamara Linn.,Suggested source,Agnidamani' has been mentioned in Rajanighantu; With regard to its synonym 'Vallikantakarika' it seems to be 'Kantakari' of the creeper variety; This species is suggested to be used as 'Agnidamani' as it has similar uses when compared to the one mentioned in the texts,[5]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Solanum trilobatum,Accepted source,Agnidamani is correlated to this species,[2]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Solanum trilobatum Linn.,Accepted source,Agnidamani' has been mentioned in Rajanighantu; With regard to its synonym 'Vallikantakarika' it seems to be 'Kantakari' of the creeper variety; It is identified with this species according to Vaidya Bapalal ji,[5]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Clerodendron phlomoids & Premna integrifolia,Accepted source,Agnimantha is correlated to this species,[2]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Clerodendrum phlomidis Linn. f.,Suggested source 2,Two accepted names given on basis of 2 types of Agnimantha viz.Vrhat and Ksudra,[1]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna integrifolia Linn.,Accepted source,Agnimantha is identified with this species,[5]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna latifolia Roxb. var. mucronata Clarke,Suggested source 1,Two accepted names given on basis of 2 types of Agnimantha viz.Vrhat and Ksudra,[1]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna latifolia Var. mucronata Clarke.,Accepted source,Agnimantha is identified with this species,[5]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna mucronata Roxb.,Accepted source,Agnimantha is identified with this species,[3]
A,1,Agnimantha - aksura,अग्निमन्थ अक्षुर,agnimantha akṣura,अग्निमन्थ अक्षुर,Clerodendrum sp.,Accepted source,This is considered as another variety of Vrhat Agnimantha (without thorns),[1]
A,1,Agnimantha - laghu,अग्निमन्थ लघु,agnimantha laghu,अग्निमन्थ लघु,Clerodendron phlomidis,Accepted source,Agnimantha is correlated to this species,[2]
A,1,Agnimantha - vrddha,अग्निमन्थ वॄद्ध,agnimantha vṝddha,अग्निमन्थ वॄद्ध,Premna integrifolia,Accepted source,Agnimantha is correlated to this species,[2]
A,1,Agnimanthfa - ksura,अग्निमन्थ क्षुर,agnimantha kṣura,अग्निमन्थ क्षुर,Premna sp.,Accepted source,This is considered as another variety of Ksudra Agnimantha (without thorns),[1]
A,1,Aguru,अगुरु,aguru,अगुरु,Aquilaria agallocha Roxb.,Accepted source,Aguru is identified with this species,[3]
A,1,Ahiphena,अहिफेन,ahiphena,अहिफेन,Papaver somnifrum Linn.,Accepted source,Ahiphena is identified with this species,[3]
A,2,Ahulya,आहुल्य,āhulya,आहुल्य,Cassia auriculata Linn.,Accepted source,Mentioned in Raja nighantu; Its identified as 'Avartaki' which is correlated to this species,[5]
A,2,Aindri,ऐन्द्री,aindrī,ऐन्द्री,Bacopa monnieri (Linn.) Pennell.,Accepted source,Aindri is identified with this species,[3]
A,2,Aindri,ऐन्द्री,aindrī,ऐन्द्री,Bacopa monnieri (Linn.) Pennell.,Accepted source,Aindri is identified with this species,[5]
A,2,Aindri,ऐन्द्री,aindrī,ऐन्द्री,Podophyllum hexandra Royle,Controversial,It needs to be examined,[1]
A,2,Airavata,ऐरावत,airāvata,ऐरावत,Citrus sp.,Controversial,Possibility of it being correlated to Airavata,[1]
A,2,Airavata,ऐरावत,airāvata,ऐरावत,Grewia sp.,Controversial,In Susruta it has been identified as Grewia species,[1]
A,2,Airavati,ऐरावती,airāvatī,ऐरावती,Acacia pennata Willd.,Accepted source,"In Kaideva nighantu, 'Airavata' has been mentioned as a variety of Khadira with 'Vallikhadira' and 'Khadiravalli' as its synonyms which portrays this as a creeper; 'Vallikhadira' is identified with this species",[5]
A,2,Aja,अजा,ajā,अजा,Saussurea gossipifolia Don.,Controversial,Needs to be studied,[1]
A,2,Aja,अजा,ajā,अजा,Saussuria gossypifolia Don.,Most probable,It has been mentioned under the divine drugs. With regard to its description it is one of the types of Saussurea species which is found near the Himalayas and popularly known as 'Kamala'. Most probably it is identified with this species,[5]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Elsholtzia cristata Willd.,Controversial,Its vernacular names point towards it as a correlation,[1]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Gynandropis pentaphylla,Accepted source,Bhavamisra had identified Ajagandha with Suvarcala which is correlated to this species,[2]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Gynandropis pentaphylla,Most probable,Tilaparni and Ajagandha are synonymous to each other but Tilaparni means ( leaves like sesamum) so there is no similarity with the morphology of the species; but Tilaparni was understood as Hulhula and correlated to this species,[2]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Gynandropsis gynandra (Linn.) Briquet.,Accepted source,It has been identified as Ajagandha but its vernacular names point towards 2 more plants,[1]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Ocimum basilicum Linn.,Controversial,Its vernacular names point towards it as a correlation,[1]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Thymus serpyllum Linn.,Most probable,"With referance to the ancient texts it can be concluded that 'Ajagandha' is different from drugs like 'Ajamoda', 'Yavani', 'Satahva' etc and it seems to be 'Vanayavani' which is most probably identified with this species; With regard to the property of this species it has similar properties like 'Ajagandha' with an exception that it is not a purgative",[5]
A,2,Ajagandha - pita,अजगन्धा पीत,ajagandhā pīta,अजगन्धा पीत,Cleome viscosa,Accepted source,Ajagandha is identified with this species,[2]
A,2,Ajagandha - sveta,अजगन्धा श्वेत,ajagandhā śveta,अजगन्धा श्वेत,Gynandropis Gynantra,Accepted source,White variety of Ajagandha is correlated to this species,[2]
A,2,Ajagari,अजगरी,ajagarī,अजगरी,Arisaema Sp.,Most probable,Ajagari' is mentioned in Susruta as a divya aushadhi (divine drug) and most probably correlated to this species,[5]
A,2,Ajakarna,अजकर्ण,ajakarṇa,अजकर्ण,Dipterocarpus sp.,Accepted source,Ajakarna is identified with this species,[1]
A,2,Ajakarna,अजकर्ण,ajakarṇa,अजकर्ण,Dipterocarpus turbinatus Gaertn.f.,Accepted source,Identified with it,[1]
A,2,Ajalomi,अजलोमी,ajalomī,अजलोमी,Not identified,Not Identified,It is considered as the alternative source for Ajalomi and Golomi. In practice 2 varieties of durva are being used in its place. Probably an aromatic herb,[1]
A,2,Ajamoda,अजमोद,ajamoda,अजमोद,Apium graveolens Linn.,Accepted source,Identified with it,[1]
A,2,Ajamoda,अजमोद,ajamoda,अजमोद,Carum Roxburghianum (DC) Craib.,Accepted source,It is identified with this species,[3]
A,2,Ajamoda,अजमोद,ajamoda,अजमोद,T. stictocarpum (C.B. Clake) Wolff.,Most probable,This species resembles Ajamoda except for its fruits which have more margins on them and are excessively hairy. This is most probably its cultivated variety,[3]
A,2,Ajaruha,अजरुहा,ajaruhā,अजरुहा,Nephrodium sp.,Suggested source,Needs to be examined,[1]
A,2,Ajasrngi,अजश्रॄङ्गी,ajaśrṝṅgī,अजश्रॄङ्गी,Gymnema sylvestre R. Br.,Accepted source,Identified with this species,[5]
A,2,Akarakarabha,आकारकरभ,ākārakarabha,आकारकरभ,Anacyclus pyrethrum DC.,Accepted source,Akarakarabha is identified with this species,[3]
A,2,Akasavalli,आकाशवल्ली,ākāśavallī,आकाशवल्ली,Cassytha filiformis Linn.,Most probable,Akasavalli is identified with this species,[3]
A,2,Akasavalli,आकाशवल्ली,ākāśavallī,आकाशवल्ली,Cuscuta reflexa Roxb.,Most probable,This species is widely known as Akasavalli  Morphological features are similar except that it is laxative,[3]
A,2,Akasavalli - prajati,आकाशवल्ली प्रजाति,ākāśavallī prajāti,आकाशवल्ली प्रजाति,Cuscuta chinensis Lam.,Most probable,This species is a variety of Cuscuta reflexa andhas similar properties so most probably can be identified with Akasavalli,[3]
A,2,Akhukarni,आखुकर्णी,ākhukarṇī,आखुकर्णी,Evolvulus nummularius Linn.,Suggested source,There are many species correlated to Akhukarni. This specieis identified with Akhukarni but it is imported to India,[3]
A,2,Akhukarni,आखुकर्णी,ākhukarṇī,आखुकर्णी,Merremia emarginata (Burm.f.) Hallier f.,Accepted source,It is identified with this species,[3]
A,2,Akhuparnika,आखुपर्णिका,ākhuparṇikā,आखुपर्णिका,Evolvulus nummularis Linn.,Suggested source,Akhuparnika presently is identified with this species but it needs to be studied as its not a native of our country and its features are not equivalent with the ones given in Caraka samhita,[5]
A,2,Akhuparnika,आखुपर्णिका,ākhuparṇikā,आखुपर्णिका,Merremia emarginata (Burm.f.) Hallier.f.,Suggested source,Akhuparnika presently is identified with this species but it needs to be studied as its not a native of our country and its features are not equivalent with the ones given in Caraka samhita,[5]
