Plant Name,Distribution Map URL
Abelmoschus crinitus WALL.,http://envis.frlht.org/distrimaps/geomaps/1.jpg
Abelmoschus ficulneus (L.) WIGHT & ARN.,http://envis.frlht.org/distrimaps/geomaps/5.jpg
Abelmoschus moschatus MEDIK.,http://envis.frlht.org/distrimaps/geomaps/7.jpg
Abies pindrow ROYLE,http://envis.frlht.org/distrimaps/geomaps/9.jpg
Abies spectabilis (D.DON) SPACH,http://envis.frlht.org/distrimaps/geomaps/10.jpg
Abies webbiana LINDL.,http://envis.frlht.org/distrimaps/geomaps/10.jpg
Abrus precatorius L.,http://envis.frlht.org/distrimaps/geomaps/15.jpg
Abutilon asiaticum (L.) SWEET,http://envis.frlht.org/distrimaps/geomaps/17.jpg
Abutilon avicennae GAETRN.,http://envis.frlht.org/distrimaps/geomaps/18.jpg
Abutilon graveolens (ROXB. EX HORNEM.) WIGHT & ARN. EX WIGHT,http://envis.frlht.org/distrimaps/geomaps/16.jpg
Abutilon hirtum (LAM.) SWEET,http://envis.frlht.org/distrimaps/geomaps/16.jpg
Abutilon indicum (L.) SWEET Subsp. guineense (SCHUMACH.)  BORSSUM,http://envis.frlht.org/distrimaps/geomaps/17.jpg
Abutilon theophrasti MEDIK.,http://envis.frlht.org/distrimaps/geomaps/18.jpg
Acacia arabica SENSU BAKER Var. vediana COOKE,http://envis.frlht.org/distrimaps/geomaps/28.jpg
Acacia catechu (L.F.) WILLD.,http://envis.frlht.org/distrimaps/geomaps/22.jpg
Acacia chundra (ROXB. EX ROTTLER) WILLD.,http://envis.frlht.org/distrimaps/geomaps/21.jpg
Acacia concinna (WILLD.) DC.,http://envis.frlht.org/distrimaps/geomaps/36.jpg
Acacia nilotica (L.) WILLD. EX DEL. Subsp. indica (BENTH.) BRENAN,http://envis.frlht.org/distrimaps/geomaps/28.jpg
Acacia rugata (LAM.) MERR.,http://envis.frlht.org/distrimaps/geomaps/36.jpg
Acacia sinuata (LOUR.) MERR.,http://envis.frlht.org/distrimaps/geomaps/36.jpg
Acacia speciosa WILLD.,http://envis.frlht.org/distrimaps/geomaps/96.jpg
Acalypha indica L.,http://envis.frlht.org/distrimaps/geomaps/39.jpg
Acampe carinata (GRIFF) PANIGR.,http://envis.frlht.org/distrimaps/geomaps/40.jpg
Acampe papillosa (LINDL.) LINDL.,http://envis.frlht.org/distrimaps/geomaps/40.jpg
