drug_name,sanskrit_name,transliteration,image_urls,ocr_text
Agaru,अगरु,agaru,"https://www.medicinalplants.in/slokaimages/147/147_2.jpg
https://www.medicinalplants.in/slokaimages/147/147_3.jpg
https://www.medicinalplants.in/slokaimages/147/147_4.jpg","कटुतिक्तोष्णमगुरु स्निग्धं वातकफापहम्
श्रुतिनेत्ररुजं हन्ति माङ्गल्यं कुष्ठनुत् परम् (Dhn)
Agaru is katu,
tikta in
rasa, usna in veerya, snigdha
in
guna, vata kapha hara, sruta netraruja hara,
mangalya,
kustha hara param

अर्कागुरुगुडूंचीनां तिक्तानाम् उष्णमुच्यते (ch su २६ ७५)
Arka, agaru and tikta are usna in veerya

अगुरुष्णं कटु
तिक्तं तीक्ष्णं च पित्तलम |
लघु कर्णक्षिरोगघ्नं शीतवातकफप्रणुत्| |
तत्तु लोहवद् वारि मज्जति |
अगुरुप्रभवः स्नेहः कृष्णागुरुसमा मतः (Bpn)
Agaru is katu,
tikta
in
rasa,
laghu
in
guna,
Ushna
in
veerya,  tvacya,
increases
pitta,
alleviates
vata,
kapha,
cures karna aksi roga
Krsna
is
gunadhika,
sinks
in
water
like
Ioha
and
is
sneha.
त्वच्यं
गुणाधिकं
कृष्णं"
Agastya,अगस्त्य,agastya,"https://www.medicinalplants.in/slokaimages/1472/1472_1.jpg
https://www.medicinalplants.in/slokaimages/1472/1472_2.jpg
https://www.medicinalplants.in/slokaimages/1472/1472_3.jpg","अगास्तः
पित्तकफजिच्चातुर्थिकहरो हिमः
रूक्षो वातकरस्तिक्तः प्रतिश्यायनिवारणः |l
तत्पुष्पं पीनसश्लेष्मपित्तनक्ताघ्यनाशनम्
(Bpn)
Agasti
is tikta
in
rasa,
ruksa
in
guna, hima
in veerya,
increases
vata,
alleviates
pitta
and
kapha,
cures
caturthika jvara and pratisyaya.
Its puspa alleviates pinasa, slesma, pitta, naktandhya

मुनिवृक्षदलं लूताव्रणविध्वंसि श्लेष्मनुत्
तत्पुष्पं वातलं तिक्तं कषायं कटुपाकि
|
क्षयकासहरं चैव पित्तश्लेष्मापकर्षणम
चातुर्थिकज्वरहरं नावनेनोपयोजितम्
(Sodala )
Muni vrksa dala is luta vrana and slesma hara
Its
puspa
is
tikta,   kashaya
in
rasa,
katu
in
paka,
increases
vata,
pitta
slesma
apakarshana,
alleviates
ksaya, kasa, caturthika jvara and used in navana

अगस्त्यं ( शाकं) नातिशीतोष्णं नक्तान्धानां प्रशस्यते
(सुश्रुत सूत्र
४६ २८२)
Agastya
saka
is natisitosna
in
veerya
and effective
in
curing naktandhya"
Agnimantha,अग्निमन्थ,Agnimantha,"https://www.medicinalplants.in/slokaimages/443/443_1.jpg
https://www.medicinalplants.in/slokaimages/443/443_2.jpg
https://www.medicinalplants.in/slokaimages/443/443_3.jpg
https://www.medicinalplants.in/slokaimages/443/443_4.jpg
https://www.medicinalplants.in/slokaimages/443/443_5.jpg
https://www.medicinalplants.in/slokaimages/443/443_6.jpg","तर्कारी कटुरुष्णा च तिक्ताउनिलकफापहा
शोफश्लेष्माग्निमान्द्यार्शो विडगन्धाउडध्माननाशिनी | |
अग्निमन्थद्वयं चैव
वीर्यरसादिषु |
तत्प्रयोगानुसारेण योजयेत् स्वमनीषयाI| (Rjn)
Agnimantha is katu,
tikta
in
rasa, usna in veerya, anila
kapha hara,
cures
sopha,
slesma, agni mandya,
arsa
vid gandha and adhmana
The second variety of agnimantha has similar properties
and is to be used accordingly
तुल्यं

तर्कारी कटुका तिक्ता तथोष्णाडनिलपाण्डुजित्
शोषश्लेष्माग्निमान्द्यामविबन्धाँश्च विनाशयेत्I| (Dhn)
Tarkari
is
katuka,
tikta
in
rasa,
usna
in
veerya,
anilapandu hara,
cures
sosa, slesma, agnimandya and
vibandha

अग्निमन्थः श्वयथुनुद् वीर्योष्णः कफवातहृत्
पाण्डुनुत् कटुकस्तिक्तस्तुवरो मधुरोडग्निदः [
(Bpn)
Agnimantha is
katuka,
tikta,   tuvara,
madhura
in
rasa
usna
in
veerya
agni
karaka,
alleviates
kapha,
vata
cures svayathu and pandu

गणिकारी तु शोथघ्नी हिताघातविकारिणाम्I| (Rjv)
Ganikari is sothaghna and useful in external vikara

अग्निमन्थो गुरुस्तिक्तो वातशोफामजित् सरः
(Sodala )
Agnimantha
is
tikta
in
rasa,
guru,
sara
in
guna,
vata
sopha
ama hara

गुणाः लघ्वाग्निमन्थस्य प्रोक्ताः वृद्धाग्निमन्थवत्
विशेषाल्लेपने चोपनाहे शोफे च कीर्त्तितः|| (Nir)
Laghu
agnimantha
is
similar
in
property
to
that
Of
vrddha agnimantha"
Ahiphena,अहिफेन,ahiphena,https://www.medicinalplants.in/slokaimages/1233/1233_1.jpg,"अहिफेनं रसे तिक्तं विपाके कटुकं विषम्
स्तम्भनं रूक्षमुष्णं च वेदनास्थापनं परम्|
स्वेदनं स्वापजननं कफरोगविनाशनम
Ahiphena
rasa is tikta in rasa, ruksa in guna,
usna in
veerya,
katuka
in
vipaka,
visha,
stambhana,
vedanasthapana (param),
svedana, svedapajanana
and
kapha roga nasana"
Ajamoda,अजमोद,ajamoda,"https://www.medicinalplants.in/slokaimages/145/145_1.jpg
https://www.medicinalplants.in/slokaimages/145/145_2.jpg
https://www.medicinalplants.in/slokaimages/145/145_3.jpg
https://www.medicinalplants.in/slokaimages/145/145_4.jpg
https://www.medicinalplants.in/slokaimages/145/145_5.jpg
https://www.medicinalplants.in/slokaimages/145/145_6.jpg
https://www.medicinalplants.in/slokaimages/145/145_7.jpg","अजमोदा खराह्वा च बस्तमोदा च मर्कटी
मोदा गन्धदला हस्ती कारवी गन्धपत्रिका Il
शिखिमोदा च मोदाढ्या वहि्नदीपिका
ब्रह्मकोशी विशाली च हृद्यगन्धोग्रगन्धिका
मोदिनी फलमुख्या च वसुचन्द्राभिधा मता
(Rjn)
Synonyms of ajamoda are kharahva bastamoda, markati moda
gandhadala hasti, karavi, gandhapatrika, mayuri, sikhimoda,
modadhya vahnidipika
brahmakosi, visali, hrdyagandha
ugragandhika modini, phalamukhya, vasucandrabhidha
मायूरी

रसे पाके च
वीर्योष्णस्त्वजमोदकः
दीपनः पाचनः शूलकृमिघ्नः कफपित्तहा Il (Mdn)
Ajamoda is Katu in Taste and Vipaka, Usna in Potency, Dipana
and Pacana in Karma, is used in Sula and Krmi and is Kapha Pitta
hara.
कटुको

अजमोदा
दीपनी कफवातनुत्
उष्णा
विदाहिनी हृद्या वृष्या बलकरी लघुः |I
नेत्रामयकफच्छर्दिहिक्कावस्तिरुजो हरेत्
(Bpn)
Ajamoda is Katu in Taste, Tiksna in Property, Dipani in Karma,
pacifies Kapha and Vata, Usna in Potency, Vidahini l Irdya Vrsya-
Balakari in Karma, Laghu in Property and is used in Netramaya,
Kapha, Chardi, Hikka and Vasti ruja.
कटुस्तीक्ष्णा

अजमोदा कटुस्तिक्ता मलावष्टंभकारिणी
उदराणि
वान्तिनेत्ररुजं जयेत |l
वस्तिशूलं दन्तरोगं गुल्मं शुक्लरुजं तथा
(Nir)
Ajamoda is katu and tikia in rasa, malavasiambhakarini in karma,
is used in udara krmi, vanti netra ruja vastisula, danta roga,
gulma and sukla ruja.
कुमींश्चैव

अजमोदा च
शूलघ्नी तिक्तोष्णा कफवातजित्
हिक्काध्मानारुचिर्हन्ति
कृमिजिद्वह्निदीपनी Il (Dhn)
Ajamoda is Sulaghna in Karma, Tikia in Taste, Usna in Potency,
Kapha Vata jit, and is used in Hikka, Adhmana, Aruci, Krmi, is
Vahni Dipani in Karma

अजमोदा कटुरुष्णा रूक्षा कफवातहारिणो
शूलाध्मानारोचकजठरामयनाशनी चैव Il (Rjn)
Ajamoda is Katu in Taste, Usna in Potency Ruksa in Property,
Kapha Vata hara
Rucikrt in Karma, is used in Sula, Adhmana
Arocaka and Jatharamaya
रुचिकृत्

अजमोदा
कटुसित्कता कटुपाका विदाहिनी
दीपनी पाचनी रूक्षा वीर्योष्णा कफवातहा |l
लघुस्तिक्ता बद्धविट्का हृद्या वृष्या विनाशयेत्
नेत्ररोगारुचिच्छिर्दिहिध्मावस्तिरुक्कृमीन् Il (Kdn)
Ajamoda is Katu and Tikia in Tasie Katu in Vipaka, Vidahini-
Dipani Pacani in Karma, Ruksa in Guna, Usna in Virya, Kapha
Vata hara, Laghu in Property is used in Baddha vit is Hrdya Vrsya
in Karma, and is used in Netra roga, Aruci, Chardi, Hidhma,
Adhmana, Vasti ruk and Krmi."
Akarakarabha,आकारकरभ,ākārakarabha,https://www.medicinalplants.in/slokaimages/125/125_1.jpg,"वीर्येणाडडाकल्लकोह्युष्णो बलकृत्
मतः
प्रतिश्यायं च शोथं च वातं चैव विनाशयेत् II (Bpn)
It
is
katu in
rasa,
usna in veerya,
bala
karaka,
cures
pratisyaya, sotha and vata
कटुको"
Aksota,अक्षोट,akṣoṭa,https://www.medicinalplants.in/slokaimages/968/968_1.jpg,"अक्षोटो मधुरो बल्यः स्निग्धोष्णोः वातपित्तजित्|
रक्तदोषप्रशमनः शीतलः कफकोपनः | |
Aksota is
madhura in
rasa,
snigdha
in
guna
usna
in
veerya,
balya,
vatapittahara,
rakta
dosa
prasamana
sitala in guna and kapha kopana"
Amalaki,आमलकी,āmalakī,"https://www.medicinalplants.in/slokaimages/671/671_1.jpg
https://www.medicinalplants.in/slokaimages/671/671_2.jpg
https://www.medicinalplants.in/slokaimages/671/671_3.jpg
https://www.medicinalplants.in/slokaimages/671/671_4.jpg
https://www.medicinalplants.in/slokaimages/671/671_5.jpg
https://www.medicinalplants.in/slokaimages/671/671_6.jpg
https://www.medicinalplants.in/slokaimages/671/671_7.jpg
https://www.medicinalplants.in/slokaimages/671/671_8.jpg","वयस्थामलकी वृष्या जातीफलरसं शिवम्
धात्रीफलं श्रीफलं च तथामृतफलं स्मृतम्
त्रिष्वामलकमाख्यातं धात्री तिष्यफलामृता
(Bpn)
Amalaki is other wise called vayastha, vrsya jatiphalarasam,
sivam, dhatriphalam, sriphalam, amrtaphalam, trisvamalaka,
dhatri, tisyaphalamta.

वयःस्थाडडमलकं वृष्यं जातीफलरसं शिवम्
धात्रीपलं श्रीफलं च तथाडमृतफलं स्मृतम्
(Dhn)
Vayastha, Amalakam, Vrsyam, Jatiphalarasam, Sivam,
Dhatriphalam, Sriphalam, Amrta phalam - these are the other
names for Amalaki.

आमलकी वयःस्था च श्रीफला धात्रिका तथा
अमृता
च शिवा शान्ता
शीताउमृतफला तथा Il
जातीफला च धात्रेयी ज्ञेया धात्रीफला तथा
वृष्या वृत्तफला चैव रोचनी शरभूह्वया I(Rjn)
Amalaki is otherwise called Vayastha, Sriphala Dhatrika, Aimrta
Siva, Santa, Sita, Amrta phala, Jati phala, Dhatreyi Dhatri phala,
Vrtta
Rocani, Sarabhuhvaya.
Vrsya,
phala,

कफपित्तहरं वृष्यं अम्लमामलकं तथा
भेदनं मधुरं पाके रुच्यं वीर्ये हिमं मृदु Il (Mdn)
Amalaki is amla in rasa, mrdu in guna, hima in veerya, madhura
in paka, bhedana in karma, vrsya, rucya alleviates kapha and
pitta

हरीतकीसमं धात्रीफलं
विशेषतः
रक्तपित्तप्रमेहघ्नं परं वृष्यं रसायनम् |l
वातं तदाम्लत्वात्पित्तं
कफं रूक्षकषायत्वात्फलं धात्र्यास्त्रिदोषजित |l
यस्य यस्य फलस्येह वीयं भवति यादृशम्
तस्य तस्यैव वीर्येण मज्जानमापि निर्दिशेत् II (Bpn)
Dlatriphala is similar to haritaki phala but specifically it is used in
raktapitta prameha. It is param vrsya
rasayana, vata hara due to
amnla rasa,
hara due to madhua
zasa
and sita veerya, reduces
kapha because it is ruksa in guna, kashaya in rasa. Its phala is
tridoshajit. Its majja also has virya similar to the virya of the phala.
किन्तु
माधुर्यशैत्यतः
pitta

कषायं कटुतिक्ताम्लं स्वादु चामलकं हिमम्
सर
त्रिदोषहृद् वृष्यं ज्वरघ्नं च रसायनम्
हन्ति वातं तदम्लत्वात्पितं माधुर्यशैत्यतः
कफं रूक्षकषायत्वात्फलं धात्र्यास्त्रिदोशजित Il (Dhn)
Amalaki is katu, tikta, amla, madhura in rasa, hima in veerya, sara
in guna, vrsya jvaraghna rasayana
karma, tridosha hara vata
hara due to amla rasa, does not increase
beca1se it is sita in
veerya, kapha hara due to ruksa guna and kashaya rasa. Its fruit is
tridosha hara
i१
pitta

आमलकं कषायाम्लं मधुरं शिशिरं लघु
दाहपित्तवमीमेहशोफघ्नं च रसायनम
कटुमधुरकषायं किञ्चिदम्लं कफध्नं
रुचिकरमतशीतं हन्ति पित्तास्रतापम
श्रमवमनविबम्धाध्मानविष्टंभदोष
प्रशमनममृताभं चामलक्याः फलं स्यात् Il (Rjn)
Amalaki is kashaya, amla, madhura in taste, sita in potency, laghu
in
property , daha pitta vami-eha sopha hara, rasayana. Its phala
is katu, madhura, kashaya, kincit amla in taste, kapha hara
a11c1
kara, ati sita in potency pacifies pitta- asra- tapam- srama
vammana- vibandha- adhmana- vistambha- dosha. It is amrtabha
(like nectar).

अम्लं समधुरं तिक्तं कषायं कटुकं सरम्
सर्वदोषध्नं वृष्यमामलकी फलम्
हा
वातं तदम्लत्वात्पित्तं
माधुर्यशैत्यतः
कफं रूक्षकषायत्वात्फलेभ्योउभ्यधिकं च तत् Il (Su.S Su ४६)
Amalaki phala is amla madhura tikta kashaya katuka in taste
sara in property caksushya. sarva doshaghna and vrsya. It is
vata hara since it is amla in rasa pitta hara since it is madhura in
taste and sita in potency kapha hara since it is ruksha in
property kashaya in taste
चक्षुष्यं"
Amlavetasa,अम्लवेतस,amlavetasa,"https://www.medicinalplants.in/slokaimages/784/784_1.jpg
https://www.medicinalplants.in/slokaimages/784/784_2.jpg
https://www.medicinalplants.in/slokaimages/784/784_3.jpg
https://www.medicinalplants.in/slokaimages/784/784_4.jpg","कषायं कटु रूक्षोष्णमम्लवेतसकं विदुः
तृट्कफानिलजन्त्वर्शोहृद्बाधाश्मरिगुल्मजित् Il (Dhn)
It is kashaya, katu in rasa, ruksa in guna, usna in potency cures trt,
kapha, anila, arsa, hrd badha, asmari and
gulma.

अम्लवेत्तसमत्यम्लं कषायोष्णञ्च वातजित
कफार्शःश्रमगुल्मघ्नमरोचकहरं परम्II (Rjn)
Amlavetasa is atyamla, kashaya in
Tasa
Lis1a
in potency, vata
hara, cures kapha, arsa, srama,
gulma, adhmana and arocaka.

अम्लवेतसमत्यम्लं भेदनं लघु दीपनम्
हृद्रोगशूलगुल्मघ्नं पित्तलं लोमहर्षणम् |l
रूक्षं विण्मूत्रदोषघ्नं प्लीहोदावर्तनाशनम्
हिक्कानाहारुचिश्वासकासाजीर्णवमिप्रणुत् |l
कफवातामयध्वंसि छागमांसद्रवत्वकृत्
चणकाम्लगुणं ज्ञेयं लोहसूचीद्रवत्वकृत् II (Bpn)
Amalvetasa is atyamla
iz
rasa, ruksa, laghu in
guna,  bhedana
dipana, loma harsana, pittala, alleviates hrdroga, sula, gulma,
T7111
mutra dosha, plila, udavarta,
hikka,   anaha,
aruci, svasa, kasa,
ajirna, vami, kapha vata maya hara if taken with
mnaisa
drava
meat soup), and is of canakamla guna (chick pea), has
the capacity to melt loha
chaga
(goat

अम्लवेतसं
भेदनीयदीपनीयानुलोमिकवातश्लेष्मप्रशमनानाम्
(Ch
SU
२५. .३३ 
Atlavetasa
bhedaniya,
dipaniya,
anulomnaka,
vata slesma
prasamana in karma."
Amlika,अम्लिका,amlikā,"https://www.medicinalplants.in/slokaimages/1583/1583_1.jpg
https://www.medicinalplants.in/slokaimages/1583/1583_2.jpg","अम्लिका अम्ला
पित्तकफास्रकृत्
पक्वा तु दीपनी रूक्षा सरोष्णा कफवातनुत्
(Bpn)
Amlika is amla in rasa, guu in guna, vatahara pitta kapha asra
karaka.
Pakva is dipani, ruksa,
sa1a
1१S1La ,
kapha vatahara.
गुरुर्वातहरी

अम्लिकायाः फलं पक्चं तस्मादल्पान्तरं गुणैेः
तस्मादिति वृक्षाम्लात्
१l (चरकः 
Pakva amlika phala is similar to vrksa amla in properties but to
lesser
degree."
