Botanical Name,Family,Systems,Synonym,Image URL,Detail URL
Abelmoschus crinitus WALL.,MALVACEAE,"Ayurveda, Folk",Hibiscus cancellatus ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/abe65b2e409317659131e47d5b7fa402
Abelmoschus esculentus (L.) MOENCH,MALVACEAE,"Ayurveda, Siddha, Unani, Folk",Hibiscus esculentus L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0cd0d9e6bdcca7b488e56438adea6097
Abelmoschus ficulneus (L.) WIGHT & ARN.,MALVACEAE,"Ayurveda, Siddha, Folk",Hibiscus ficulneus L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a6a660549ff44fbf602ec9988cc9d8a4
Abelmoschus moschatus MEDIK.,MALVACEAE,"Ayurveda, Siddha, Unani, Folk",Hibiscus abelmoschus L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/5ec3070af3c6e21d7cf6cf4ebd3c61b1
Abies pindrow ROYLE,PINACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/deb4b8751b6f53622e614818f8690d1c
Abies spectabilis (D.DON) SPACH,PINACEAE,"Ayurveda, Unani, Folk, Sowa-Rigpa",Abies webbiana LINDL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/370db2f049bec54fb27849be813c4013
Abies spectabilis (D.DON) SPACH,PINACEAE,"Ayurveda, Unani, Folk, Sowa-Rigpa",Abies webbiana LINDL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/370db2f049bec54fb27849be813c4013/xclkon/d148c25ad7f691d99f422e93bdc70751
"Abrus fruticulosus WALL. EX WIGHT & ARN. X Family - FABACEAE System(s) of Indian Medicine - Ayurveda, Folk Botanical Synonyms (1) - Abrus pulchellus WALL. EX THWAITES",FABACEAE,"Ayurveda, Folk",Abrus pulchellus WALL. EX THWAITES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bc16e753b514aa52d614b5b773cf71e3
Abrus precatorius L.,FABACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3a92edd6d0b42cdb2a91f3b6cd4b0624
"Abrus fruticulosus WALL. EX WIGHT & ARN. X Family - FABACEAE System(s) of Indian Medicine - Ayurveda, Folk Botanical Synonyms (1) - Abrus pulchellus WALL. EX THWAITES",FABACEAE,"Ayurveda, Folk",Abrus pulchellus WALL. EX THWAITES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bc16e753b514aa52d614b5b773cf71e3/xclkon/53fc59f815c8bf12a44d0f193c3cdfde
Abutilon indicum (L.) SWEET subsp. guineense (SCHUMACH.)  BORSSUM,MALVACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Abutilon asiaticum (L.) SWEET,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/fa08ad0afc3fc7eb8f67e8cff5cb0c59/xclkon/aeb879e722a5fa7c1f5aaeabcfd32967
